count	class	samples
56	h-3.5	<svg.w-3.5.h-3.5.sm:w-4.sm:h-4.text-green-500> | <svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
56	w-3.5	<svg.w-3.5.h-3.5.sm:w-4.sm:h-4.text-green-500> | <svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
55	dark:text-neutral-700	<svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
55	duration-300	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
55	text-neutral-200	<svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
53	text-neutral-600	<svg.w-4.h-4.text-neutral-600.dark:text-neutral-300> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full> | <div.flex.items-center.justify-center.cursor-pointer.transition-colors.rounded-full.w-full.h-full> | <svg.w-5.h-5.text-neutral-600.dark:text-neutral-300>
48	bg-white	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "((a,b,c,d,e,f,g,h)=>{let i=document.documentElement,j=[\"light\",\"dark\"];function k(b){var c;(Array.is" | <main.bg-white.dark:bg-neutral-950> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount"
45	text-neutral-900	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart"
43	dark:bg-neutral-800	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.absolute.inset-0.bg-neutral-200.dark:bg-neutral-800> | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z"
43	gap-2	<div.flex.items-center.gap-2.md:gap-3> "SearchStart typing to search productsShopping CartYour cart is emptyAdd items to your cart to see th" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400> "HomeSmartphones" | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z"
43	h-4	<svg.w-4.h-4> | <svg.w-4.h-4.sm:w-5.sm:h-5> | <svg.w-4.h-4.transition-transform.duration-200> | <svg.w-4.h-4.text-neutral-600.dark:text-neutral-300>
43	w-4	<svg.w-4.h-4> | <svg.w-4.h-4.sm:w-5.sm:h-5> | <svg.w-4.h-4.transition-transform.duration-200> | <svg.w-4.h-4.text-neutral-600.dark:text-neutral-300>
42	dark:hover:bg-neutral-700	<button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From Z-A" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "Newest First" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "Oldest First" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "Cheapest First"
42	text-xs	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
41	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <li.relative> "All"
38	h-full	<div.flex.h-full.items-center.justify-between> "HomeCategoriesCartAccount" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
37	flex-col	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
37	hover:bg-neutral-100	<button.p-1.rounded-full.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors.cursor-pointer> | <button.p-1.rounded-full.cursor-pointer.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors> | <button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full>
36	overflow-hidden	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.relative.w-full.h-48.md:h-64.lg:h-80.rounded-2xl.overflow-hidden> | <div.absolute.right-0.mt-2.w-48.sm:w-56.bg-white.dark:bg-neutral-800.rounded-2xl> "Sort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstExpensive First" | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
33	shadow-md	<button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full> | <div.flex.items-center.justify-center.cursor-pointer.transition-colors.rounded-full.w-full.h-full>
31	h-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]>
31	w-5	<svg.h-5.w-5> | <svg.h-5.w-5.text-black.dark:text-white> | <svg.w-5.h-5> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]>
29	duration-200	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
28	absolute	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute> | <div.absolute.bottom-0.right-1.top-0.flex.w-9.items-center.justify-center> | <div.absolute.inset-0.bg-neutral-200.dark:bg-neutral-800>
28	dark:text-neutral-400	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <nav.flex.items-center.gap-2.text-sm.text-neutral-500.dark:text-neutral-400> "HomeSmartphones"
28	dark:text-white	<svg.h-5.w-5.text-black.dark:text-white> | <h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart"
28	px-4	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.block.w-full.justify-center.md:hidden.px-4.mt-2.z-10>
27	group	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <label.flex.items-center.gap-3.cursor-pointer.group> "S" | <label.flex.items-center.gap-3.cursor-pointer.group> "M"
26	font-medium	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
26	opacity-0	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.absolute.right-0.mt-2.w-48.sm:w-56.bg-white.dark:bg-neutral-800.rounded-2xl> "Sort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstExpensive First" | <div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300>
26	w-9	<div.absolute.bottom-0.right-1.top-0.flex.w-9.items-center.justify-center> | <button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
25	h-9	<button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
25	transition-opacity	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <li.transition-opacity.animate-fadeIn.flex.flex-col> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.(0)Sta" | <img.transition-opacity.duration-300.object-cover.w-full.h-full.opacity-100>
24	font-semibold	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart"
24	text-white	<div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <button.relative.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <svg.text-white.hover:text-neutral-200.transition-colors>
23	border	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4> | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z"
22	border-neutral-200	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters"
22	text-neutral-400	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <p.px-3.sm:px-4.py-2.text-xs.font-semibold.text-neutral-400.uppercase.tracking-wider> "Sort By" | <span.text-xs.text-neutral-400.dark:text-neutral-500.ml-1> "(0)" | <span.text-xs.text-neutral-400.dark:text-neutral-500> "Starting at"
21	py-2.5	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From A-Z" | <button.w-full.flex.items-center.justify-between.px-3.sm:px-4.py-2.5.sm:py-3> "From Z-A"
20	dark:border-neutral-700	<div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.flex.items-center.gap-2.px-4.py-2.5.rounded-full.border.transition-all> "Filters" | <button.flex.items-center.gap-2.px-3.sm:px-4.py-2.sm:py-2.5.rounded-full> "From A-Z"
20	dark:text-neutral-500	<span.text-xs.text-neutral-400.dark:text-neutral-500.ml-1> "(0)" | <span.text-xs.text-neutral-400.dark:text-neutral-500> "Starting at" | <p.text-sm.text-neutral-400.dark:text-neutral-500.line-through> "$899.00" | <p.text-sm.text-neutral-400.dark:text-neutral-500.line-through> "$510.00"
20	gap-1	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
20	text-selected-black	<li.text-selected-black.dark:text-neutral-300> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <li.text-selected-black.dark:text-neutral-300> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
19	dark:fill-transparent	<svg.fill-transparent.stroke-current.dark:fill-transparent> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-5.stroke-current.stroke-[1.5]>
19	gap-3	<div.flex.items-center.gap-3> "Logoipsum" | <div.flex.items-center.gap-3> "FiltersFrom A-ZSort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstExpensive First" | <label.flex.items-center.gap-3.cursor-pointer.group> "S" | <label.flex.items-center.gap-3.cursor-pointer.group> "M"
19	px-3	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
19	rounded-xl	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4> | <a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart"
19	stroke-current	<svg.fill-transparent.stroke-current.dark:fill-transparent> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-5.stroke-current.stroke-[1.5]>
18	dark:text-neutral-900	<a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex-1.px-4.py-3.bg-neutral-900.dark:bg-white.text-white.dark:text-neutral-900.rounded-xl> "Apply Filters" | <div.w-10.h-10.flex.items-center.justify-center.rounded-full.text-white.dark:text-neutral-900>
17	bg-transparent	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <button.cursor-pointer.bg-transparent.hover:bg-white/10.rounded-full.transition-colors> | <div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2>
17	dark:focus:ring-neutral-500	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.w-4.h-4.cursor-pointer.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600> | <input.w-full.px-3.py-2.text-sm.border.border-neutral-200.dark:border-neutral-700.rounded-lg> | <input.w-4.h-4.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600.dark:focus:ring-neutral-500>
17	fill-ptimary	<svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-5.stroke-current.stroke-[1.5]>
17	focus:ring-neutral-900	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.w-4.h-4.cursor-pointer.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600> | <input.w-full.px-3.py-2.text-sm.border.border-neutral-200.dark:border-neutral-700.rounded-lg> | <input.w-4.h-4.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600.dark:focus:ring-neutral-500>
17	rounded-2xl	<div.relative.w-full.h-48.md:h-64.lg:h-80.rounded-2xl.overflow-hidden> | <div.absolute.right-0.mt-2.w-48.sm:w-56.bg-white.dark:bg-neutral-800.rounded-2xl> "Sort ByFrom A-ZFrom Z-ANewest FirstOldest FirstCheapest FirstExpensive First" | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders"
17	stroke-[1.5]	<svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-4.stroke-current.stroke-[1.5]> | <svg.fill-ptimary.h-5.w-5.dark:fill-transparent.size-5.stroke-current.stroke-[1.5]>
16	font-bold	<h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <p.text-xl.font-bold.text-neutral-900.dark:text-white.mb-2> "Your cart is empty" | <h2.text-2xl.md:text-3xl.font-bold.text-neutral-900.dark:text-white> "Smartphones" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$535.00"
16	justify-between	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.h-full.items-center.justify-between> "HomeCategoriesCartAccount" | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.flex.items-center.justify-between.px-6.py-6> "Shopping Cart"
15	bg-neutral-900	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <a.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex.w-full.cursor-pointer.items-center.justify-center.gap-2.px-4.py-2.5> "Add to Cart" | <button.flex-1.px-4.py-3.bg-neutral-900.dark:bg-white.text-white.dark:text-neutral-900.rounded-xl> "Apply Filters"
15	border-neutral-300	<input.w-4.h-4.cursor-pointer.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600> | <input.w-4.h-4.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600.dark:focus:ring-neutral-500>
15	dark:bg-neutral-900	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
15	dark:border-neutral-600	<input.w-4.h-4.cursor-pointer.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600> | <input.w-4.h-4.rounded.border-neutral-300.text-neutral-900.focus:ring-neutral-900.dark:border-neutral-600.dark:focus:ring-neutral-500>
15	dark:group-hover:text-white	<span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "S" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "M" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "L" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "XL"
15	group-hover:text-neutral-900	<span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "S" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "M" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "L" | <span.text-sm.text-neutral-600.dark:text-neutral-400.group-hover:text-neutral-900.dark:group-hover:text-white.transition-colors> "XL"
15	h-10	<div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0> | <div.w-10.h-10.flex.items-center.justify-center.rounded-full.text-white.dark:text-neutral-900>
